"","GISJOIN","GISJOIN_T","COUNTY_CODE","STATEA","COUNTYA","TRACTA","BLOCKA","ET2001","ET2002","ET2003","ET2004","ET2005","ET2006","ET2007","ET2008","ET2009","ET2010","whites","blacks","asians","native_americans","others","latino"
"165420","G26016305001101","G26016305001",26163,26,163,5001,"101",46,0,0,0,0,1,0,0,0,0,46,0,0,0,0,1
"165421","G26016305001103","G26016305001",26163,26,163,5001,"103",56,0,0,0,0,0,0,0,0,1,56,0,0,0,0,1
"165422","G26016305001104","G26016305001",26163,26,163,5001,"104",68,0,1,0,0,0,0,0,0,0,68,0,0,1,0,0
"165423","G26016305001105","G26016305001",26163,26,163,5001,"105",68,0,0,0,0,2,0,0,0,0,68,0,0,0,0,2
"165424","G26016305001106","G26016305001",26163,26,163,5001,"106",74,0,0,0,0,0,0,0,0,1,74,0,0,0,0,1
"165425","G26016305001107","G26016305001",26163,26,163,5001,"107",95,0,0,4,0,0,0,0,0,0,95,0,4,0,0,0
"165426","G26016305001108","G26016305001",26163,26,163,5001,"108",62,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0
"165427","G26016305001109","G26016305001",26163,26,163,5001,"109",54,9,0,0,0,0,0,0,0,0,54,9,0,0,0,0
"165428","G26016305001110","G26016305001",26163,26,163,5001,"110",64,3,0,2,0,1,0,0,0,1,64,3,2,0,0,2
"165429","G26016305001201","G26016305001",26163,26,163,5001,"201",84,0,1,0,0,0,0,0,0,0,84,0,0,1,0,0
"165430","G26016305001202","G26016305001",26163,26,163,5001,"202",76,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0
"165431","G26016305001203","G26016305001",26163,26,163,5001,"203",76,5,0,0,0,0,0,0,0,0,76,5,0,0,0,0
"165432","G26016305001204","G26016305001",26163,26,163,5001,"204",41,0,0,5,0,3,0,0,0,0,41,0,5,0,0,3
"165433","G26016305001205","G26016305001",26163,26,163,5001,"205",58,0,0,8,0,0,0,0,0,0,58,0,8,0,0,0
