"","GISJOIN","GISJOIN_T","COUNTY_CODE","STATEA","COUNTYA","TRACTA","BLOCKA","whites","blacks","asians","native_americans","others","latino"
"283618","G26016300000000981","G2601630000000",26163,26,163,0,981,0,0,0,0,0,0
"283619","G26016300000000982","G2601630000000",26163,26,163,0,982,0,0,0,0,0,0
"283620","G26016300000000983","G2601630000000",26163,26,163,0,983,0,0,0,0,0,0
"283621","G26016300000000984","G2601630000000",26163,26,163,0,984,0,0,0,0,0,0
"283622","G26016300000000985","G2601630000000",26163,26,163,0,985,0,0,0,0,0,0
"283623","G26016300000000986","G2601630000000",26163,26,163,0,986,0,0,0,0,0,0
"283624","G26016300000000987","G2601630000000",26163,26,163,0,987,0,0,0,0,0,0
"283625","G26016300000000988","G2601630000000",26163,26,163,0,988,0,0,0,0,0,0
"283626","G26016300000000989","G2601630000000",26163,26,163,0,989,0,0,0,0,0,0
"283627","G26016300000000990","G2601630000000",26163,26,163,0,990,0,0,0,0,0,0
"283628","G26016300000000991","G2601630000000",26163,26,163,0,991,0,0,0,0,0,0
"283629","G26016300000000992","G2601630000000",26163,26,163,0,992,0,0,0,0,0,0
"283630","G26016300000000993","G2601630000000",26163,26,163,0,993,0,0,0,0,0,0
"283631","G26016300000000994","G2601630000000",26163,26,163,0,994,0,0,0,0,0,0
"283632","G26016300000000995","G2601630000000",26163,26,163,0,995,0,0,0,0,0,0
"283633","G26016300000000996","G2601630000000",26163,26,163,0,996,0,0,0,0,0,0
"283634","G26016300000000997","G2601630000000",26163,26,163,0,997,0,0,0,0,0,0
"283635","G26016300000000998","G2601630000000",26163,26,163,0,998,0,0,0,0,0,0
"283636","G26016300000000999","G2601630000000",26163,26,163,0,999,0,0,0,0,0,0
"283637","G26016305001001000","G2601630500100",26163,26,163,500100,1000,21,37,4,0,0,0
"283638","G26016305001001001","G2601630500100",26163,26,163,500100,1001,27,32,0,0,6,0
"283639","G26016305001001002","G2601630500100",26163,26,163,500100,1002,21,33,0,0,0,0
"283640","G26016305001001003","G2601630500100",26163,26,163,500100,1003,8,76,0,0,0,1
"283641","G26016305001001004","G2601630500100",26163,26,163,500100,1004,19,49,4,0,2,1
"283642","G26016305001001005","G2601630500100",26163,26,163,500100,1005,46,53,4,0,5,0
"283643","G26016305001001006","G2601630500100",26163,26,163,500100,1006,33,39,0,0,3,0
"283644","G26016305001001007","G2601630500100",26163,26,163,500100,1007,19,53,0,0,1,0
"283645","G26016305001001008","G2601630500100",26163,26,163,500100,1008,14,65,0,0,0,0
"283646","G26016305001001009","G2601630500100",26163,26,163,500100,1009,33,36,0,0,0,0
"283647","G26016305001001010","G2601630500100",26163,26,163,500100,1010,18,51,0,0,1,0
"283648","G26016305001001011","G2601630500100",26163,26,163,500100,1011,51,24,0,0,1,1
"283649","G26016305001002000","G2601630500100",26163,26,163,500100,2000,20,27,0,0,0,1
"283650","G26016305001002001","G2601630500100",26163,26,163,500100,2001,33,31,4,0,0,0
"283651","G26016305001002002","G2601630500100",26163,26,163,500100,2002,31,44,5,2,0,8
"283652","G26016305001002003","G2601630500100",26163,26,163,500100,2003,16,56,4,0,2,7
"283653","G26016305001002004","G2601630500100",26163,26,163,500100,2004,23,24,0,1,6,0
"283654","G26016305001002005","G2601630500100",26163,26,163,500100,2005,5,2,0,0,0,0
"283655","G26016305001002006","G2601630500100",26163,26,163,500100,2006,13,39,0,0,1,0
"283656","G26016305001002007","G2601630500100",26163,26,163,500100,2007,28,30,0,1,12,0
"283657","G26016305001002008","G2601630500100",26163,26,163,500100,2008,27,35,0,0,1,0
"283658","G26016305001002009","G2601630500100",26163,26,163,500100,2009,11,22,1,0,0,0
"283659","G26016305001002010","G2601630500100",26163,26,163,500100,2010,34,63,0,0,6,3
"283660","G26016305001002011","G2601630500100",26163,26,163,500100,2011,41,32,0,0,0,0
"283661","G26016305001002012","G2601630500100",26163,26,163,500100,2012,17,51,0,0,0,2
"283662","G26016305001002013","G2601630500100",26163,26,163,500100,2013,21,25,0,0,0,0
"283663","G26016305001002014","G2601630500100",26163,26,163,500100,2014,13,6,0,0,0,0
"283664","G26016305001003000","G2601630500100",26163,26,163,500100,3000,15,54,0,0,0,0
"283665","G26016305001003001","G2601630500100",26163,26,163,500100,3001,36,50,0,0,10,3
"283666","G26016305001003002","G2601630500100",26163,26,163,500100,3002,16,57,0,0,3,0
"283667","G26016305001003003","G2601630500100",26163,26,163,500100,3003,27,76,0,0,2,1
"283668","G26016305001003004","G2601630500100",26163,26,163,500100,3004,20,54,0,0,2,0
"283669","G26016305001003005","G2601630500100",26163,26,163,500100,3005,13,93,1,0,0,0
