GISJOIN,GISJOIN_T,COUNTY_CODE,STATEA,COUNTYA,TRACTA,BLOCKA,whites,blacks,asians,native_americans,others,latino,tot
G26016305001001000,G2601630500100,26163,26,163,500100,1000,3,5,0,0,3,3,14
G26016305001001001,G2601630500100,26163,26,163,500100,1001,13,82,0,0,5,0,100
G26016305001001002,G2601630500100,26163,26,163,500100,1002,3,77,0,0,1,1,82
G26016305001001003,G2601630500100,26163,26,163,500100,1003,0,49,0,0,1,0,50
G26016305001001004,G2601630500100,26163,26,163,500100,1004,0,65,1,0,0,0,66
G26016305001001005,G2601630500100,26163,26,163,500100,1005,13,51,0,1,2,0,67
G26016305001001006,G2601630500100,26163,26,163,500100,1006,4,76,1,0,2,0,83
G26016305001001007,G2601630500100,26163,26,163,500100,1007,0,6,0,0,0,0,6
G26016305001001008,G2601630500100,26163,26,163,500100,1008,3,13,0,0,3,0,19
G26016305001001009,G2601630500100,26163,26,163,500100,1009,1,40,0,0,1,1,43
G26016305001001010,G2601630500100,26163,26,163,500100,1010,2,68,1,0,1,0,72
G26016305001001011,G2601630500100,26163,26,163,500100,1011,8,80,0,0,0,0,88
G26016305001001012,G2601630500100,26163,26,163,500100,1012,3,24,0,0,0,0,27
G26016305001001013,G2601630500100,26163,26,163,500100,1013,0,42,0,0,3,0,45
G26016305001001014,G2601630500100,26163,26,163,500100,1014,4,21,0,0,0,0,25
G26016305001001015,G2601630500100,26163,26,163,500100,1015,2,0,0,1,2,0,5
G26016305001001016,G2601630500100,26163,26,163,500100,1016,0,12,0,0,0,0,12
G26016305001001017,G2601630500100,26163,26,163,500100,1017,0,0,0,0,0,0,0
G26016305001001018,G2601630500100,26163,26,163,500100,1018,2,37,0,0,0,3,42
G26016305001001019,G2601630500100,26163,26,163,500100,1019,0,52,0,0,0,1,53
G26016305001001020,G2601630500100,26163,26,163,500100,1020,1,63,1,0,1,2,68
G26016305001001021,G2601630500100,26163,26,163,500100,1021,3,37,0,0,1,1,42
G26016305001001022,G2601630500100,26163,26,163,500100,1022,1,18,0,0,0,0,19
G26016305001001023,G2601630500100,26163,26,163,500100,1023,0,28,0,0,2,0,30
G26016305001001024,G2601630500100,26163,26,163,500100,1024,0,39,0,0,3,0,42
G26016305001001025,G2601630500100,26163,26,163,500100,1025,3,75,0,0,0,0,78
G26016305001001026,G2601630500100,26163,26,163,500100,1026,0,133,0,0,0,0,133
G26016305001001027,G2601630500100,26163,26,163,500100,1027,0,8,0,0,0,0,8
G26016305001001028,G2601630500100,26163,26,163,500100,1028,0,11,0,0,1,0,12
G26016305001001029,G2601630500100,26163,26,163,500100,1029,0,0,0,0,0,0,0
G26016305001002000,G2601630500100,26163,26,163,500100,2000,4,69,0,0,1,0,74
G26016305001002001,G2601630500100,26163,26,163,500100,2001,4,48,1,0,0,3,56
G26016305001002002,G2601630500100,26163,26,163,500100,2002,9,78,0,0,0,0,87
G26016305001002003,G2601630500100,26163,26,163,500100,2003,4,47,0,0,0,0,51
G26016305001002004,G2601630500100,26163,26,163,500100,2004,1,31,0,0,1,1,34
G26016305001002005,G2601630500100,26163,26,163,500100,2005,4,72,0,0,0,0,76
G26016305001002006,G2601630500100,26163,26,163,500100,2006,0,100,0,0,2,1,103
G26016305001002007,G2601630500100,26163,26,163,500100,2007,0,79,0,0,0,2,81
G26016305001002008,G2601630500100,26163,26,163,500100,2008,8,96,0,0,0,1,105
G26016305001002009,G2601630500100,26163,26,163,500100,2009,0,106,1,0,2,3,112
G26016305001002010,G2601630500100,26163,26,163,500100,2010,0,0,0,0,0,0,0
G26016305001002011,G2601630500100,26163,26,163,500100,2011,0,0,0,0,0,0,0
G26016305001002012,G2601630500100,26163,26,163,500100,2012,11,79,0,0,0,0,90
G26016305001002013,G2601630500100,26163,26,163,500100,2013,8,56,1,1,0,2,68
G26016305001002014,G2601630500100,26163,26,163,500100,2014,7,72,0,0,3,1,83
G26016305001002015,G2601630500100,26163,26,163,500100,2015,2,80,0,0,0,0,82
G26016305001002016,G2601630500100,26163,26,163,500100,2016,4,67,0,0,6,4,81
G26016305001002017,G2601630500100,26163,26,163,500100,2017,4,85,0,0,3,0,92
G26016305001002018,G2601630500100,26163,26,163,500100,2018,0,0,0,0,0,0,0
G26016305001002019,G2601630500100,26163,26,163,500100,2019,0,54,0,0,0,1,55
G26016305001002020,G2601630500100,26163,26,163,500100,2020,2,76,0,0,3,0,81
G26016305001002021,G2601630500100,26163,26,163,500100,2021,1,49,0,0,5,2,57
G26016305001002022,G2601630500100,26163,26,163,500100,2022,2,24,0,0,0,0,26
G26016305001002023,G2601630500100,26163,26,163,500100,2023,0,24,0,0,1,2,27
G26016305001002024,G2601630500100,26163,26,163,500100,2024,3,32,0,0,0,0,35
G26016305001002025,G2601630500100,26163,26,163,500100,2025,1,51,0,0,2,1,55
G26016305001002026,G2601630500100,26163,26,163,500100,2026,0,84,0,0,0,1,85
G26016305001002027,G2601630500100,26163,26,163,500100,2027,1,66,0,0,2,0,69
G26016305001002028,G2601630500100,26163,26,163,500100,2028,0,67,0,0,0,1,68
G26016305001002029,G2601630500100,26163,26,163,500100,2029,8,75,0,0,5,0,88
G26016305001002030,G2601630500100,26163,26,163,500100,2030,3,71,1,0,2,0,77
G26016305001002031,G2601630500100,26163,26,163,500100,2031,0,81,0,0,1,0,82
G26016305001002032,G2601630500100,26163,26,163,500100,2032,7,67,0,0,0,0,74
G26016305001002033,G2601630500100,26163,26,163,500100,2033,0,10,0,0,0,2,12
G26016305001002034,G2601630500100,26163,26,163,500100,2034,13,57,0,0,1,0,71
G26016305001002035,G2601630500100,26163,26,163,500100,2035,1,92,1,0,3,1,98
G26016305001002036,G2601630500100,26163,26,163,500100,2036,2,36,0,0,2,0,40
G26016305001002037,G2601630500100,26163,26,163,500100,2037,9,60,0,0,0,4,73
G26016305001002038,G2601630500100,26163,26,163,500100,2038,2,34,0,0,4,2,42
G26016305001002039,G2601630500100,26163,26,163,500100,2039,2,61,0,0,4,0,67
G26016305001002040,G2601630500100,26163,26,163,500100,2040,0,68,2,0,2,1,73
G26016305001002041,G2601630500100,26163,26,163,500100,2041,2,32,0,0,1,0,35
G26016305002001000,G2601630500200,26163,26,163,500200,1000,0,24,0,0,0,2,26
G26016305002001001,G2601630500200,26163,26,163,500200,1001,0,64,0,0,1,2,67
G26016305002001002,G2601630500200,26163,26,163,500200,1002,4,75,0,0,1,0,80
G26016305002001003,G2601630500200,26163,26,163,500200,1003,0,93,1,0,0,5,99
G26016305002001004,G2601630500200,26163,26,163,500200,1004,8,105,0,0,4,2,119
G26016305002001005,G2601630500200,26163,26,163,500200,1005,0,0,0,0,0,0,0
G26016305002001006,G2601630500200,26163,26,163,500200,1006,3,42,2,0,3,0,50
