"","GISJOIN_T","whites","blacks","asians","native_americans","others","latino","tot"
"1","G26016305001",3702,64,41,14,4,57,3882
"2","G26016305002",2672,288,48,18,0,28,3054
"3","G26016305003",2818,850,64,28,10,55,3825
"4","G26016305004",991,4580,32,12,2,27,5644
"5","G26016305005",747,3381,79,15,11,42,4275
"6","G26016305006",2462,4196,57,41,11,73,6840
"7","G26016305007",3445,628,45,19,5,60,4202
"8","G26016305008",2197,166,22,5,0,62,2452
"9","G26016305009",2366,1524,55,14,3,38,4000
"10","G26016305010",1333,2221,47,5,3,40,3649
"11","G26016305011",763,4257,33,19,14,38,5124
"12","G26016305012",821,2057,5,17,5,17,2922
"13","G26016305013",858,4503,24,31,3,54,5473
"14","G26016305014",2084,2045,42,20,3,55,4249
"15","G26016305015",3610,327,70,15,2,36,4060
"16","G26016305016",1900,82,13,3,0,25,2023
"17","G26016305017",2456,131,14,14,0,57,2672
"18","G26016305018",3425,1388,63,6,11,51,4944
"19","G26016305019",1244,2335,29,12,7,36,3663
"20","G26016305020",567,3494,5,3,12,31,4112
"21","G26016305031",1976,854,38,6,0,37,2911
"22","G26016305032",3289,754,56,8,3,70,4180
"23","G26016305033",2303,2359,189,16,12,43,4922
"24","G26016305034",1259,723,395,10,15,43,2445
"25","G26016305035",1659,3788,240,12,7,95,5801
"26","G26016305036",691,2220,296,14,19,48,3288
"27","G26016305037",584,2480,444,7,6,41,3562
"28","G26016305039",383,4169,15,9,2,41,4619
"29","G26016305040",272,2618,24,7,0,14,2935
"30","G26016305041",418,2955,14,3,4,27,3421
"31","G26016305042",240,4452,4,2,4,25,4727
"32","G26016305043",329,4277,5,6,1,12,4630
"33","G26016305044",246,4253,9,9,1,29,4547
"34","G26016305045",279,872,1,7,0,6,1165
"35","G26016305046",57,2002,0,3,2,20,2084
"36","G26016305047",102,4577,3,9,3,17,4711
"37","G26016305048",249,2623,7,8,3,13,2903
"38","G26016305049",806,3154,8,10,5,30,4013
"39","G26016305050",603,1453,13,3,7,11,2090
"40","G26016305051",1213,2692,19,8,4,42,3978
"41","G26016305052",564,4204,17,28,0,11,4824
"42","G26016305053",283,3170,9,13,6,12,3493
"43","G26016305061",926,1149,45,12,2,17,2151
"44","G26016305062",586,2014,16,10,8,34,2668
"45","G26016305063",731,2789,58,15,4,33,3630
"46","G26016305064",594,1832,2,2,1,9,2440
"47","G26016305065",337,2978,2,4,2,32,3355
"48","G26016305066",609,3742,1,13,1,20,4386
"49","G26016305067",522,1051,9,4,2,6,1594
"50","G26016305068",963,3629,22,4,5,42,4665
"51","G26016305069",748,4356,14,7,3,27,5155
"52","G26016305070",44,3241,5,4,8,19,3321
"53","G26016305071",69,3439,7,0,5,22,3542
