"","X","GISJOIN_T","whites","blacks","asians","latino","native_americans","others","tot"
"1",1,"G2601630000000",0,0,0,0,0,0,0
"2",2,"G2601630500100",1379,2735,42,59,5,108,4328
"3",3,"G2601630500200",780,2403,58,33,12,82,3368
"4",4,"G2601630500300",660,3659,117,45,13,112,4606
"5",5,"G2601630500400",172,4228,27,26,6,58,4517
"6",6,"G2601630500500",141,3678,14,24,16,34,3907
"7",7,"G2601630500600",426,5494,76,49,7,71,6123
"8",8,"G2601630500700",1169,3394,23,63,3,118,4770
"9",9,"G2601630500800",858,1549,39,50,6,95,2597
"10",10,"G2601630500900",485,3975,64,48,3,72,4647
"11",11,"G2601630501000",243,3707,40,28,6,69,4093
"12",12,"G2601630501100",208,4878,12,38,7,48,5191
"13",13,"G2601630501200",115,3008,5,21,4,52,3205
"14",14,"G2601630501300",251,5339,9,30,13,65,5707
"15",15,"G2601630501400",721,3612,14,46,10,86,4489
"16",16,"G2601630501500",1917,2106,93,55,9,88,4268
"17",17,"G2601630501600",1166,826,15,46,9,48,2110
"18",18,"G2601630501700",1566,1099,22,55,22,76,2840
"19",19,"G2601630501800",1690,3352,48,71,12,138,5311
"20",20,"G2601630501900",342,3611,12,31,4,64,4064
"21",21,"G2601630502000",144,3187,2,32,7,71,3443
"22",22,"G2601630503100",528,2715,46,23,13,55,3380
"23",23,"G2601630503200",604,4231,115,42,9,102,5103
"24",24,"G2601630503300",491,4926,245,20,14,76,5772
"25",25,"G2601630503400",300,1884,528,26,9,90,2837
"26",26,"G2601630503500",301,5669,310,47,15,93,6435
"27",27,"G2601630503600",229,2522,418,24,8,101,3302
"28",28,"G2601630503700",118,2189,320,53,8,86,2774
"29",29,"G2601630503900",132,3965,31,40,6,62,4236
"30",30,"G2601630504000",79,2378,1,24,3,45,2530
"31",31,"G2601630504100",108,2902,2,15,3,39,3069
"32",32,"G2601630504200",52,4089,1,18,4,44,4208
"33",33,"G2601630504300",104,3997,7,14,1,59,4182
"34",34,"G2601630504400",94,3621,2,21,7,52,3797
"35",35,"G2601630504500",30,472,0,1,0,3,506
"36",36,"G2601630504600",38,1532,0,23,4,32,1629
"37",37,"G2601630504700",52,3321,2,13,3,41,3432
"38",38,"G2601630504800",111,1933,0,13,5,28,2090
"39",39,"G2601630504900",256,3755,19,17,13,45,4105
"40",40,"G2601630505000",119,1790,22,15,1,38,1985
"41",41,"G2601630505100",391,3938,3,24,5,78,4439
"42",42,"G2601630505200",191,4207,5,23,10,59,4495
"43",43,"G2601630505300",72,3064,6,10,6,31,3189
"44",44,"G2601630506100",334,1891,78,15,2,82,2402
"45",45,"G2601630506200",165,2668,9,19,4,47,2912
"46",46,"G2601630506300",197,3055,81,26,10,61,3430
"47",47,"G2601630506400",744,3276,24,99,18,41,4202
"48",48,"G2601630506500",116,2904,1,23,9,46,3099
"49",49,"G2601630506600",206,3924,8,18,6,52,4214
"50",50,"G2601630506700",160,1367,16,0,10,26,1579
"51",51,"G2601630506800",349,4077,10,34,6,52,4528
"52",52,"G2601630506900",242,4322,10,37,4,72,4687
"53",53,"G2601630507000",24,3200,8,19,2,57,3310
"54",54,"G2601630507100",38,3345,5,9,4,45,3446
"55",55,"G2601630507200",27,1969,1,21,1,24,2043
"56",56,"G2601630507300",70,3945,4,31,10,49,4109
"57",57,"G2601630507400",154,3912,7,36,4,56,4169
"58",58,"G2601630507500",177,2922,7,17,2,40,3165
"59",59,"G2601630507600",400,2334,10,23,16,118,2901
"60",60,"G2601630507700",60,1522,11,6,3,27,1629
