,GISJOIN_T,X,whites,blacks,asians,native_americans,others,latino,tot
1,G2601630500100,1,366,3553,5,6,64,38,4032
2,G2601630500200,2,233,2907,14,10,30,13,3207
3,G2601630500300,3,191,2761,82,7,60,36,3137
4,G2601630500400,4,60,1542,1,9,29,23,1664
5,G2601630500500,5,50,2103,5,11,23,13,2205
6,G2601630500600,6,135,3440,23,4,92,20,3714
7,G2601630500700,7,331,3892,6,2,117,43,4391
8,G2601630500800,8,261,2164,13,4,22,21,2485
9,G2601630500900,9,125,3779,16,10,62,43,4035
10,G2601630501000,10,80,3313,4,7,65,30,3499
11,G2601630501100,11,102,3596,1,2,44,17,3762
12,G2601630501200,12,51,1887,0,1,20,4,1963
13,G2601630501300,13,87,3649,1,15,70,14,3836
14,G2601630501400,14,286,3471,8,4,79,47,3895
15,G2601630501500,15,522,3437,31,15,56,34,4095
16,G2601630501600,16,414,1474,2,3,56,48,1997
17,G2601630501700,17,586,1646,4,9,79,33,2357
18,G2601630501800,18,751,3451,27,7,153,59,4448
19,G2601630501900,19,120,2841,7,10,55,22,3055
20,G2601630502000,20,81,2197,0,13,39,18,2348
21,G2601630503100,21,163,2836,28,4,30,20,3081
22,G2601630503200,22,201,3462,26,8,83,37,3817
23,G2601630503300,23,144,4015,55,6,66,16,4302
24,G2601630503400,24,72,1270,163,2,29,21,1557
25,G2601630503500,25,107,3613,116,2,70,28,3936
26,G2601630503600,26,93,1631,163,4,37,11,1939
27,G2601630503900,27,36,2172,2,2,32,6,2250
28,G2601630504000,28,35,1412,1,10,18,7,1483
29,G2601630504100,29,36,1655,1,4,39,13,1748
30,G2601630504200,30,17,2356,0,5,36,12,2426
31,G2601630504300,31,66,2548,9,1,54,17,2695
32,G2601630504400,32,28,1945,2,2,17,5,1999
33,G2601630504700,33,26,2033,2,3,24,9,2097
34,G2601630504800,34,42,736,0,0,8,7,793
35,G2601630504900,35,109,3313,4,2,46,21,3495
36,G2601630505000,36,40,1198,1,0,19,5,1263
37,G2601630505100,37,226,3457,4,13,44,32,3776
38,G2601630505200,38,80,3192,1,10,49,16,3348
39,G2601630505400,39,91,2765,65,2,49,29,3001
40,G2601630505500,40,85,1340,1,16,17,13,1472
41,G2601630506100,41,113,1723,23,15,37,10,1921
