"","GISJOIN_T","X.1","X","whites","blacks","asians","native_americans","others","latino","tot","E","H","Estd","Estd_cls","H_cls","biv_cls"
"1","G2601630500100",1,1,366,3553,5,6,64,38,4032,0.4569585472339,0.114259205493187,0.25503342110466,"L","L","LL"
"2","G2601630500200",2,2,233,2907,14,10,30,13,3207,0.387275164068933,0.145825260136009,0.216142384466249,"L","L","LL"
"3","G2601630500300",3,3,191,2761,82,7,60,36,3137,0.518606415161394,0.215360605917905,0.289439751299222,"L","L","LL"
"4","G2601630500400",4,4,60,1542,1,9,29,23,1664,0.352813716679579,0.273460224712742,0.196909084471914,"L","L","LL"
"5","G2601630500500",5,5,50,2103,5,11,23,13,2205,0.2491441820077,0.25553169517442,0.139050015521915,"L","L","LL"
"6","G2601630500600",6,6,135,3440,23,4,92,20,3714,0.350049756634343,0.243371230806151,0.195366488999305,"L","L","LL"
"7","G2601630500700",7,7,331,3892,6,2,117,43,4391,0.456213092670804,0.141419318864962,0.254617374991384,"L","L","LL"
"8","G2601630500800",8,8,261,2164,13,4,22,21,2485,0.477155677985052,0.112868843455104,0.266305654402723,"L","L","LL"
"9","G2601630500900",9,9,125,3779,16,10,62,43,4035,0.318381211818324,0.169595814798836,0.17769193761007,"L","L","LL"
"10","G2601630501000",10,10,80,3313,4,7,65,30,3499,0.273126541217527,0.166297878417016,0.152434825046689,"L","L","LL"
"11","G2601630501100",11,11,102,3596,1,2,44,17,3762,0.22358033027444,0.186218840683541,0.124782558214002,"L","L","LL"
"12","G2601630501200",12,12,51,1887,0,1,20,4,1963,0.1960142170503,0.205039399476013,0.109397617490895,"L","L","LL"
"13","G2601630501300",13,13,87,3649,1,15,70,14,3836,0.250789499232175,0.29473668308603,0.139968284548942,"L","L","LL"
"14","G2601630501400",14,14,286,3471,8,4,79,47,3895,0.446597354106152,0.169610501835914,0.249250729116314,"L","L","LL"
"15","G2601630501500",15,15,522,3437,31,15,56,34,4095,0.565589288281967,0.132481916202325,0.315661392053722,"L","L","LL"
"16","G2601630501600",16,16,414,1474,2,3,56,48,1997,0.756866789185473,0.141832836008554,0.422415397928135,"M","L","ML"
"17","G2601630501700",17,17,586,1646,4,9,79,33,2357,0.802436845777858,0.118552226468926,0.447848530764887,"M","L","ML"
"18","G2601630501800",18,18,751,3451,27,7,153,59,4448,0.711628584564623,0.120563119436198,0.397167475203139,"M","L","ML"
"19","G2601630501900",19,19,120,2841,7,10,55,22,3055,0.335195190389136,0.17993670532915,0.187075997725045,"L","L","LL"
"20","G2601630502000",20,20,81,2197,0,13,39,18,2348,0.312519549753079,0.231406474047919,0.174420481722205,"L","L","LL"
"21","G2601630503100",21,21,163,2836,28,4,30,20,3081,0.360921269202654,0.168079589827326,0.201433995690365,"L","L","LL"
"22","G2601630503200",22,22,201,3462,26,8,83,37,3817,0.418663785735695,0.187034214384733,0.233660707771266,"L","L","LL"
"23","G2601630503300",23,23,144,4015,55,6,66,16,4302,0.327941068872111,0.215206748834303,0.183027395420099,"L","L","LL"
"24","G2601630503400",24,24,72,1270,163,2,29,21,1557,0.685407144326981,0.215377700597259,0.382533010763032,"M","L","ML"
"25","G2601630503500",25,25,107,3613,116,2,70,28,3936,0.391169982338387,0.268414081215617,0.218316123930918,"L","L","LL"
"26","G2601630503600",26,26,93,1631,163,4,37,11,1939,0.616981706463525,0.35588834139479,0.344344046765016,"M","M","MM"
"27","G2601630503900",27,27,36,2172,2,2,32,6,2250,0.189002752327119,0.22705230855535,0.105484444521199,"L","L","LL"
"28","G2601630504000",28,28,35,1412,1,10,18,7,1483,0.252589955045087,0.299047318564725,0.140973138070765,"L","L","LL"
"29","G2601630504100",29,29,36,1655,1,4,39,13,1748,0.271204237335372,0.257187750341299,0.151361966822597,"L","L","LL"
"30","G2601630504200",30,30,17,2356,0,5,36,12,2426,0.164683763257251,0.272857304827159,0.0919117582943215,"L","L","LL"
"31","G2601630504300",31,31,66,2548,9,1,54,17,2695,0.276151956788534,0.22315646664305,0.154123341626601,"L","L","LL"
"32","G2601630504400",32,32,28,1945,2,2,17,5,1999,0.155777674950388,0.218715759209424,0.0869411757692573,"L","L","LL"
"33","G2601630504700",33,33,26,2033,2,3,24,9,2097,0.17504108552925,0.352890558814849,0.0976922899169404,"L","M","LM"
"34","G2601630504800",34,34,42,736,0,0,8,7,793,0.312967742783423,0.339251810466601,0.174670623015186,"L","M","LM"
"35","G2601630504900",35,35,109,3313,4,2,46,21,3495,0.258595145020179,0.20992143501615,0.144324698410323,"L","L","LL"
"36","G2601630505000",36,36,40,1198,1,0,19,5,1263,0.250144231468454,0.255870819678541,0.139608153753039,"L","L","LL"
"37","G2601630505100",37,37,226,3457,4,13,44,32,3776,0.368434527657852,0.146409378157255,0.205627225074237,"L","L","LL"
"38","G2601630505200",38,38,80,3192,1,10,49,16,3348,0.241867882140552,0.200743379374789,0.134989035244087,"L","L","LL"
"39","G2601630505400",39,39,91,2765,65,2,49,29,3001,0.3813689034997,0.35055415053502,0.21284603767938,"L","M","LM"
"40","G2601630505500",40,40,85,1340,1,16,17,13,1472,0.39759394235967,0.366181313136007,0.221901404283336,"L","M","LM"
"41","G2601630506100",41,41,113,1723,23,15,37,10,1921,0.45854417644227,0.17543682969022,0.255918377615621,"L","L","LL"
"42","G2601630506200",42,42,85,2137,3,8,27,25,2285,0.315419592771649,0.192373351483408,0.176039026548324,"L","L","LL"
"43","G2601630506300",43,43,88,2182,8,8,48,18,2352,0.347914650185086,0.275993960244697,0.194174863401156,"L","L","LL"
"44","G2601630506400",44,44,626,2287,9,11,30,132,3095,0.763330819216649,0.105264189463039,0.426023041778881,"M","L","ML"
"45","G2601630506500",45,45,50,2115,4,3,48,36,2256,0.312917833198229,0.335788574713108,0.174642767945322,"L","M","LM"
"46","G2601630506600",46,46,104,3044,2,4,56,30,3240,0.295332399518704,0.192787356537264,0.164828150536267,"L","L","LL"
"47","G2601630506700",47,47,37,1151,7,1,19,14,1229,0.317528743033174,0.302030531025634,0.177216165722274,"L","L","LL"
"48","G2601630506800",48,48,149,3600,2,6,66,42,3865,0.324269345056934,0.141502369669595,0.180978167341088,"L","L","LL"
"49","G2601630506900",49,49,117,3584,4,9,69,35,3818,0.303170189110988,0.157034931904013,0.169202504196394,"L","L","LL"
"50","G2601630507000",50,50,29,2819,3,12,53,32,2948,0.239011526208954,0.335634869932464,0.133394872645449,"L","M","LM"
"51","G2601630507100",51,51,26,2528,3,6,30,24,2617,0.195190608543716,0.289459868819745,0.108937952831253,"L","L","LL"
"52","G2601630507200",52,52,16,1381,1,0,23,13,1434,0.200419783344057,0.281538982331301,0.111856410855417,"L","L","LL"
"53","G2601630507300",53,53,30,2706,5,10,42,21,2814,0.21664873322251,0.343307848074606,0.120913960240349,"L","M","LM"
"54","G2601630507400",54,54,51,3035,4,7,38,18,3153,0.208195429741187,0.281078290011632,0.11619608173796,"L","L","LL"
"55","G2601630507500",55,55,97,2325,5,3,24,25,2479,0.29886374167902,0.222027716400338,0.166799030121928,"L","L","LL"
"56","G2601630507800",56,56,63,689,0,0,15,5,772,0.415219438535423,0.233581276317347,0.231738380997262,"L","L","LL"
"57","G2601630507900",57,57,263,1764,22,24,58,69,2200,0.730798915211129,0.143150574705144,0.407866640451455,"M","L","ML"
"58","G2601630508000",58,58,260,1028,2,1,37,15,1343,0.686690196736894,0.320678946818802,0.383249095947427,"M","L","ML"
"59","G2601630508100",59,59,181,1957,16,3,43,27,2227,0.491645453233112,0.292639514752284,0.274392551945004,"L","L","LL"
"60","G2601630510400",60,60,12,939,0,0,18,7,976,0.200318449671768,0.384815589120193,0.111799855456085,"L","M","LM"
"61","G2601630510500",61,61,398,1182,1987,22,101,33,3723,1.10846160281369,0.308485507925166,0.618644199654346,"M","L","ML"
"62","G2601630510600",62,62,1268,1073,1581,21,201,62,4206,1.3117272397072,0.223108370739388,0.732088911617325,"H","L","HL"
"63","G2601630510700",63,63,1137,527,68,1,145,10,1888,1.01017255538735,0.353824945705368,0.563788037812111,"M","M","MM"
"64","G2601630511000",64,64,86,1780,30,6,34,35,1971,0.451659081997253,0.480900030636359,0.252075733241048,"L","M","LM"
"65","G2601630511200",65,65,14,1360,7,0,52,9,1442,0.277576720554191,0.352845196475449,0.15491851742454,"L","M","LM"
"66","G2601630511300",66,66,534,1826,37,7,88,18,2510,0.792167309894334,0.301781748472173,0.442116993658543,"M","L","ML"
"67","G2601630511400",67,67,54,2522,8,9,54,34,2681,0.306680071070325,0.291167287587154,0.17116140661584,"L","L","LL"
"68","G2601630511900",68,68,60,1326,9,6,51,10,1462,0.424652289863388,0.271951230041845,0.237002955562078,"L","L","LL"
"69","G2601630512100",69,69,60,3365,7,17,60,23,3532,0.255405144419031,0.272906008942339,0.142544325176117,"L","L","LL"
"70","G2601630512200",70,70,15,1282,1,5,12,6,1321,0.173687205020677,0.237758225005798,0.0969366748180252,"L","L","LL"
"71","G2601630512300",71,71,28,1564,13,11,47,14,1677,0.344171624413373,0.247353950408724,0.192085840942508,"L","L","LL"
"72","G2601630512400",72,72,22,1427,0,6,9,17,1481,0.20292757255701,0.346376995137169,0.113256034664316,"L","M","LM"
"73","G2601630512600",73,73,60,1856,0,3,20,14,1953,0.247676963208747,0.236164956213681,0.138231145118744,"L","L","LL"
"74","G2601630512900",74,74,91,1467,3,8,45,25,1639,0.459772456419486,0.223487900688562,0.256603893723285,"L","L","LL"
"75","G2601630513200",75,75,220,1559,3,3,38,20,1843,0.54530912786446,0.227297023352041,0.304342819016548,"L","L","LL"
"76","G2601630513300",76,76,236,1972,11,6,57,18,2300,0.536208360155718,0.239071819458386,0.299263583848524,"L","L","LL"
"77","G2601630513600",77,77,64,1377,0,0,21,7,1469,0.283340497943819,0.321866018223508,0.158135342834767,"L","L","LL"
"78","G2601630513700",78,78,51,3109,16,17,53,10,3256,0.247574796257996,0.211840515892182,0.138174124657847,"L","L","LL"
"79","G2601630513900",79,79,26,2154,1,2,39,13,2235,0.197702828427214,0.222230709441942,0.110340049444466,"L","L","LL"
"80","G2601630514100",80,80,52,3339,4,14,55,22,3486,0.231354040377482,0.228134105025383,0.129121148430239,"L","L","LL"
"81","G2601630514200",81,81,15,2651,1,3,40,16,2726,0.158261108780639,0.227052292792741,0.0883272065802573,"L","L","LL"
"82","G2601630514300",82,82,63,2956,1,4,27,24,3075,0.2083055986761,0.240930180638649,0.116257568191251,"L","L","LL"
"83","G2601630514500",83,83,18,1367,7,2,13,9,1416,0.200220684782406,0.382916431173607,0.111745291832428,"L","M","LM"
"84","G2601630515200",84,84,116,1865,4,9,25,13,2032,0.364857325724523,0.262063985721225,0.203630750661926,"L","L","LL"
"85","G2601630515300",85,85,198,2814,14,11,48,32,3117,0.422897355506297,0.189017539919747,0.236023508048485,"L","L","LL"
"86","G2601630515400",86,86,426,826,8,10,50,24,1344,0.924659784548707,0.200512370359586,0.51606245170122,"M","L","ML"
"87","G2601630515600",87,87,31,1305,0,6,33,10,1385,0.289317968877498,0.201044588986714,0.161471432882755,"L","L","LL"
"88","G2601630515700",88,88,380,2765,24,7,88,31,3295,0.585842878163264,0.0786992304858928,0.326965135792285,"L","L","LL"
"89","G2601630515900",89,89,34,1587,0,1,15,6,1643,0.181623055259263,0.374934589537852,0.101365757166899,"L","M","LM"
"90","G2601630516000",90,90,66,2906,1,15,48,16,3052,0.251170518514395,0.278984723423923,0.140180935459271,"L","L","LL"
"91","G2601630516100",91,91,11,706,2,6,7,2,734,0.2162069547017,0.506926818991815,0.120667398953303,"L","M","LM"
"92","G2601630516200",92,92,20,739,0,0,10,5,774,0.227407985290099,0.220982278431738,0.126918813153014,"L","L","LL"
"93","G2601630516300",93,93,51,821,2,1,9,6,890,0.339789493622929,0.184084478444151,0.189640127181424,"L","L","LL"
"94","G2601630516400",94,94,83,969,7,3,21,12,1095,0.477472894973606,0.257866849098595,0.266482696574957,"L","L","LL"
"95","G2601630516500",95,95,243,1061,15,3,52,30,1404,0.78113809918702,0.113021235544047,0.435961473960318,"M","L","ML"
"96","G2601630516600",96,96,13,1963,1,8,57,16,2058,0.23944563837284,0.0275365366288827,0.133637155257229,"L","L","LL"
"97","G2601630516700",97,97,30,2849,9,12,62,15,2977,0.235440025000588,0.0379315296009571,0.131401579868319,"L","L","LL"
"98","G2601630516800",98,98,31,961,0,9,25,15,1041,0.370180411368326,0.343441071261318,0.206601621325775,"L","M","LM"
"99","G2601630516900",99,99,92,1836,2,4,42,15,1991,0.354447788461069,0.0836446235826805,0.197821077297711,"L","L","LL"
"100","G2601630517000",100,100,568,1620,86,6,42,38,2360,0.875122956540374,0.0489358082563543,0.488415421584128,"M","L","ML"
"101","G2601630517100",101,101,106,909,8,5,16,18,1062,0.557535315100581,0.0420055197296588,0.311166384035232,"L","L","LL"
"102","G2601630517200",102,102,381,908,49,10,37,53,1438,1.00774641212195,0.131162728379454,0.562433981474151,"M","L","ML"
